Wavelength,Flux
3315.9540, 1.0014e+02
3325.9565, 9.9070e+01
3335.9592, 9.5490e+01
3345.9617, 9.9390e+01
3355.9644, 9.7755e+01
3365.9668, 8.3960e+01
3375.9695, 8.7360e+01
3385.9720, 9.5600e+01
3395.9744, 9.9445e+01
3405.9770, 1.0430e+02
3415.9795, 9.5850e+01
3425.9822, 1.0305e+02
3435.9846, 9.8705e+01
3445.9873, 8.2690e+01
3455.9897, 9.7350e+01
3465.9924, 9.6075e+01
3475.9949, 9.3520e+01
3485.9976, 9.3150e+01
3496.0000, 9.2430e+01
3506.0027, 1.0875e+02
3516.0054, 1.0165e+02
3526.0078, 9.4240e+01
3536.0105, 1.0715e+02
3546.0130, 1.1505e+02
3556.0156, 1.0840e+02
3566.0180, 9.4270e+01
3576.0208, 8.2595e+01
3586.0232, 7.2110e+01
3596.0260, 1.0305e+02
3606.0283, 1.0050e+02
3616.0310, 9.1195e+01
3626.0337, 1.0355e+02
3636.0361, 1.0340e+02
3646.0388, 1.0510e+02
3656.0413, 1.1965e+02
3666.0440, 1.2790e+02
3676.0466, 1.2255e+02
3686.0490, 1.1435e+02
3696.0518, 1.2750e+02
3706.0542, 1.1855e+02
3716.0570, 1.2200e+02
3726.0596, 1.0965e+02
3736.0620, 9.5745e+01
3746.0647, 9.3685e+01
3756.0671, 1.1030e+02
3766.0698, 1.1280e+02
3776.0725, 1.3305e+02
3786.0750, 1.3755e+02
3796.0776, 1.1075e+02
3806.0803, 1.2455e+02
3816.0828, 1.1185e+02
3826.0854, 8.1950e+01
3836.0881, 7.1095e+01
3846.0906, 9.9320e+01
3856.0933, 1.0455e+02
3866.0957, 1.0430e+02
3876.0984, 1.0390e+02
3886.1010, 1.0195e+02
3896.1035, 1.2145e+02
3906.1062, 1.2895e+02
3916.1090, 1.3875e+02
3926.1113, 1.0570e+02
3936.1140, 6.0455e+01
3946.1167, 1.0630e+02
3956.1194, 1.3605e+02
3966.1218, 8.8405e+01
3976.1245, 9.5880e+01
3986.1272, 1.5765e+02
3996.1296, 1.7225e+02
4006.1323, 1.7420e+02
4016.1350, 1.8120e+02
4026.1375, 1.8255e+02
4036.1401, 1.7495e+02
4046.1428, 1.7380e+02
4056.1455, 1.7315e+02
4066.1480, 1.6510e+02
4076.1506, 1.6880e+02
4086.1533, 1.7995e+02
4096.1560, 1.7760e+02
4106.1587, 1.5040e+02
4116.1610, 1.8220e+02
4126.1636, 1.7940e+02
4136.1665, 1.7600e+02
4146.1690, 1.7410e+02
4156.1714, 1.7380e+02
4166.1743, 1.8470e+02
4176.1770, 1.6690e+02
4186.1797, 1.6880e+02
4196.1820, 1.7050e+02
4206.1846, 1.7620e+02
4216.1875, 1.8020e+02
4226.1900, 1.5860e+02
4236.1924, 1.7150e+02
4246.1953, 1.7720e+02
4256.1978, 1.6990e+02
4266.2007, 1.7020e+02
4276.2030, 1.5730e+02
4286.2056, 1.5910e+02
4296.2085, 1.4790e+02
4306.2110, 1.1380e+02
4316.2134, 1.6900e+02
4326.2163, 1.6500e+02
4336.2188, 1.7350e+02
4346.2217, 1.6740e+02
4356.2240, 1.7270e+02
4366.2266, 1.9340e+02
4376.2295, 1.8110e+02
4386.2320, 1.5710e+02
4396.2350, 1.8300e+02
4406.2373, 1.7170e+02
4416.2397, 1.9360e+02
4426.2427, 1.9850e+02
4436.2450, 1.9140e+02
4446.2480, 1.9780e+02
4456.2505, 1.8260e+02
4466.2530, 1.8960e+02
4476.2560, 2.0820e+02
4486.2583, 1.9780e+02
4496.2610, 2.0320e+02
4506.2637, 2.1490e+02
4516.2660, 2.1140e+02
4526.2690, 1.9460e+02
4536.2715, 1.9750e+02
4546.2744, 1.9840e+02
4556.2770, 2.0390e+02
4566.2793, 2.0820e+02
4576.2820, 2.1050e+02
4586.2847, 1.9760e+02
4596.2876, 2.0140e+02
4606.2900, 2.0450e+02
4616.2930, 2.0600e+02
4626.2954, 2.1090e+02
4636.2980, 2.0450e+02
4646.3010, 1.9810e+02
4656.3030, 2.0470e+02
4666.3060, 1.9260e+02
4676.3086, 2.0200e+02
4686.3110, 1.9990e+02
4696.3140, 1.9950e+02
4706.3164, 1.8820e+02
4716.3193, 2.0230e+02
4726.3220, 2.0460e+02
4736.3247, 1.9960e+02
4746.3270, 2.0560e+02
4756.3296, 2.0210e+02
