Wavelength,Flux
0.0900452,1.2837948985941396e-17
0.0901354,1.737429845504958e-17
0.09022580000000001,1.8457115927189672e-17
0.0903163,1.8908290011778145e-17
0.09040680000000001,1.934305779609724e-17
0.0904974,1.9876263382032598e-17
0.0905882,2.041767129092203e-17
0.090679,2.093447057658801e-17
0.0907699,2.1467676162523368e-17
0.09086090000000001,2.2009085725774026e-17
0.090952,2.255869761197876e-17
0.0910431,2.3132918121406946e-17
0.0911344,2.3748155208689187e-17
0.09122580000000001,2.4584878176788626e-17
0.0913172,2.6898169823493198e-17
0.0914088,4.8866240625774395e-17
0.09150040000000001,3.7701735590798407e-16
0.09159210000000001,2.4388001316241574e-15
0.091684,7.099017012256181e-15
0.09177590000000001,1.1943804913193759e-14
0.0918679,1.5930541662299152e-14
0.09196,2.0105951612273652e-14
0.09205220000000001,2.3042684297105986e-14
0.0921445,2.7193482857765065e-14
0.09223680000000001,3.0080996152098347e-14
0.0923293,3.243530390020094e-14
0.09242190000000002,4.768498353883814e-14
0.0925145,4.8390456951815514e-14
0.0926073,3.750486046402192e-14
0.09270010000000001,5.238539636798212e-14
0.092793,7.779879035918133e-14
0.09288600000000001,8.062888329002024e-14
0.09297920000000001,5.851315796907147e-14
0.09307240000000001,4.141776643331284e-14
0.0931657,6.247528671699323e-14
0.09325910000000001,9.737153981335608e-14
0.0933526,1.1935600890879833e-13
0.09344620000000001,1.260005825804572e-13
0.0935398,1.1730522694701484e-13
0.09363360000000001,9.007072567174604e-14
0.0937275,5.5477988197306927e-14
0.09382140000000001,5.519087790950561e-14
0.0939155,9.548481119279681e-14
0.0940097,1.3330139672206726e-13
0.0941039,1.5454758512441907e-13
0.0941982,1.675085715751798e-13
0.09429270000000001,1.7464533237556562e-13
0.0943872,1.7694221467797616e-13
0.0944818,1.6775467191580684e-13
0.09457650000000001,1.611921452435508e-13
0.09467140000000002,1.646374686971666e-13
0.09476630000000001,1.4905146615649262e-13
0.09486130000000001,1.040981333793635e-13
0.0949564,6.51577180882032e-14
0.0950516,9.113713337607562e-14
0.0951468,1.5315304363258675e-13
0.09524220000000001,1.9392275871048248e-13
0.0953377,2.1574316768843693e-13
0.0954333,2.3961437218070203e-13
0.095529,2.641418442479726e-13
0.0956247,2.857981863321757e-13
0.0957206,3.022044962365522e-13
0.09581660000000002,3.0737250852203024e-13
0.0959126,3.0934125703693804e-13
0.0960088,3.0819281588573277e-13
0.096105,3.145912892167646e-13
0.0962014,3.2246631038145013e-13
0.0962978,3.201694280790396e-13
0.0963943,3.0400920496276296e-13
0.09649100000000001,3.0327091749340895e-13
0.0965877,3.311616660148925e-13
0.0966845,3.506031727960879e-13
0.0967815,3.4929066475113124e-13
0.0968785,3.32556221059252e-13
0.0969756,2.953138493293206e-13
0.0970728,2.2722760630554395e-13
0.09717010000000001,1.3420373753264547e-13
0.0972675,9.39262095834767e-14
0.0973651,1.6258668673538312e-13
0.0974627,2.661105927628804e-13
0.0975604,3.4297421131444794e-13
0.0976582,3.903885136165297e-13
0.09775610000000001,4.140136042156406e-13
0.09785410000000001,4.291074331801148e-13
0.0979522,4.440371952508376e-13
0.09805040000000001,4.5314270456613126e-13
0.0981487,4.583927096409035e-13
0.0982471,4.680724666368541e-13
0.0983456,4.771779759521477e-13
0.09844420000000001,4.729943650291779e-13
0.0985428,4.756193811190912e-13
0.09864160000000001,4.90220982297257e-13
0.09874050000000001,4.752912473315885e-13
0.0988395,4.4050982479781897e-13
0.0989386,4.100760800807707e-13
0.09903780000000001,4.0556436247535244e-13
0.0991371,4.5314270456613126e-13
0.0992365,4.90959269766611e-13
0.0993359,5.026897951718179e-13
0.09943550000000001,4.788185906795528e-13
0.0995352,4.836584691775281e-13
0.099635,5.114671706996088e-13
0.09973490000000002,5.232797159991642e-13
0.0998349,5.340258942519716e-13
0.09993490000000001,5.45838439551527e-13
0.1000351,5.622447494559035e-13
0.10013540000000001,5.805377879808393e-13
0.1002358,5.943191360054112e-13
0.10033630000000002,6.058855674118124e-13
0.10043690000000001,6.105614061210907e-13
0.1005376,6.106434260154392e-13
0.10063830000000001,6.100691783347822e-13
0.10073920000000001,6.14827036938409e-13
0.1008402,6.233582985730457e-13
0.10094130000000001,6.293466182222263e-13
0.1010425,6.427177583548382e-13
0.1011438,6.548584374418964e-13
0.10124520000000001,6.600264497273745e-13
0.1013467,6.712648015563816e-13
0.1014483,6.793038896148185e-13
0.10155,6.902961275506714e-13
0.10165180000000001,7.103118549074694e-13
0.1017537,7.166282541340441e-13
0.10185570000000001,7.087532600744129e-13
0.1019578,6.963664670942005e-13
0.1020601,6.757765462668541e-13
0.1021624,6.458350022310599e-13
0.1022648,5.749596762236187e-13
0.10236730000000001,4.396074704347136e-13
0.10246990000000002,2.590558789618974e-13
0.10257270000000002,1.5815697547178625e-13
0.10267550000000002,2.6184493484050775e-13
0.10277840000000002,4.5191221641552315e-13
0.10288150000000001,6.136785957872037e-13
0.10298460000000001,7.259798773424919e-13
0.1030878,7.879137338233366e-13
0.10319120000000001,8.334413346099134e-13
0.1032946,8.752774438396116e-13
0.1033982,8.998869358012307e-13
0.1035018,8.982463210738256e-13
0.1036056,8.4984764451429e-13
0.10370950000000001,8.473866682130737e-13
0.1038134,9.318792482462812e-13
0.1039175,9.868404921356544e-13
0.10402170000000001,1.0089890077960573e-12
0.10412600000000001,1.026215679274245e-12
0.10423030000000001,1.0303172160927576e-12
0.1043348,1.0286766013653525e-12
0.1044394,1.0450828570596205e-12
0.10454410000000001,1.0680517885039431e-12
0.1046489,1.088559689436941e-12
0.1047539,1.0934815336191561e-12
0.1048589,1.1008644083126962e-12
0.10496400000000002,1.136138058632774e-12
0.1050692,1.161567803747987e-12
0.10517449999999999,1.1697709858052296e-12
0.10528,1.1820757046809849e-12
0.10538550000000001,1.2025836056139827e-12
0.10549120000000001,1.2189899697284678e-12
0.10559690000000001,1.2444197148436809e-12
0.10570280000000001,1.2739511051976238e-12
0.10580880000000001,1.291998084039514e-12
0.10591479999999999,1.2887168545847039e-12
0.106021,1.2944590061306216e-12
0.1061273,1.3239903964845645e-12
0.1062337,1.3190685523023493e-12
0.10634020000000001,1.3100450628814042e-12
0.10644680000000001,1.3485999426562922e-12
0.10655350000000001,1.3584437394409399e-12
0.10666030000000001,1.3436779900538598e-12
0.10676730000000001,1.3420373753264547e-12
0.1068743,1.3699281509529926e-12
0.10698140000000002,1.433092468479391e-12
0.1070887,1.4749285777090893e-12
0.10719600000000001,1.4929755565509795e-12
0.10730350000000001,1.5003584312445195e-12
0.10741110000000001,1.5257881763597325e-12
0.10751880000000001,1.556139874077378e-12
0.10762650000000001,1.5873119875789432e-12
0.10773440000000001,1.6299684041723439e-12
0.1078424,1.662781023981097e-12
0.10795060000000001,1.6931327216987424e-12
0.1080588,1.7193828825978752e-12
0.10816710000000002,1.7275860646551178e-12
0.10827550000000001,1.7267657572914152e-12
0.1083841,1.6931327216987424e-12
0.1084927,1.6800076954592846e-12
0.10860150000000002,1.7521955024066282e-12
0.10871040000000001,1.8457115176506722e-12
0.1088194,1.882625782698155e-12
0.10892850000000001,1.9023133762674505e-12
0.1090377,1.908055527813368e-12
0.10914700000000001,1.925282199291556e-12
0.10925640000000002,1.9745012916350113e-12
0.10936590000000002,2.0163374008647095e-12
0.10947560000000002,2.013876478773602e-12
0.10958530000000001,1.925282199291556e-12
0.1096952,1.8350475219225393e-12
0.1098051,1.89246968790302e-12
0.1099152,1.989266824181657e-12
0.1100254,2.119697212893401e-12
0.1101357,2.3190340706774615e-12
0.1102461,2.516730313734117e-12
0.11035660000000001,2.7004811147673946e-12
0.1104673,2.8440364212983793e-12
0.110578,3.0458342011735473e-12
0.11068889999999999,3.433843921013535e-12
0.1107998,4.486309761186913e-12
0.11091089999999999,7.789722859807835e-12
0.11102210000000001,1.5339913367329316e-11
0.11113340000000001,2.403526683236734e-11
0.11124480000000002,3.4043125957117226e-11
0.11135630000000002,3.880916074616714e-11
0.11146800000000001,4.770139144794072e-11
0.1115797,8.44925726606327e-11
0.1116916,8.523085709422062e-11
